"startNodeId","endNodeId","relationshipType","allProperties"
"872","10871","OWNS","{}"
"873","10872","OWNS","{}"
"874","10873","OWNS","{}"
"875","10874","OWNS","{}"
"876","10875","OWNS","{}"
"877","10876","OWNS","{}"
"878","10877","OWNS","{}"
"2125","10878","OWNS","{}"
"404","10879","OWNS","{}"
"7197","10880","OWNS","{}"
"882","10881","OWNS","{}"
"883","10882","OWNS","{}"
"754","10883","OWNS","{}"
"885","10884","OWNS","{}"
"886","10885","OWNS","{}"
"887","10886","OWNS","{}"
"888","10887","OWNS","{}"
"889","10888","OWNS","{}"
"890","10889","OWNS","{}"
"1737","10890","OWNS","{}"
"892","10891","OWNS","{}"
"1236","10892","OWNS","{}"
"894","10893","OWNS","{}"
"341","10894","OWNS","{}"
"896","10895","OWNS","{}"
"897","10896","OWNS","{}"
"898","10897","OWNS","{}"
"397","10898","OWNS","{}"
"900","10899","OWNS","{}"
"901","10900","OWNS","{}"
"902","10901","OWNS","{}"
"903","10902","OWNS","{}"
"743","10903","OWNS","{}"
"905","10904","OWNS","{}"
"906","10905","OWNS","{}"
"907","10906","OWNS","{}"
"909","10908","OWNS","{}"
"910","10909","OWNS","{}"
"911","10910","OWNS","{}"
"912","10911","OWNS","{}"
"913","10912","OWNS","{}"
"805","10913","OWNS","{}"
"915","10914","OWNS","{}"
"916","10915","OWNS","{}"
"917","10916","OWNS","{}"
"907","10917","OWNS","{}"
"919","10918","OWNS","{}"
"920","10919","OWNS","{}"
"654","10920","OWNS","{}"
